== Computing Ramchandran numbers ==
Using Parameters:
	INITIAL_ALPHA: 5
	MAX_INITIAL_DEPTH: 4
	ALPHA: 20
	MAX_TRIES: 150

AUTHOR                                 RAMCHANDRAN NUMBER

Kannan Ramchandran                     0
Prakash Ishwar                         1
Gerald Friedland                       1
Longbo Huang                           1
Kv Rashmi (Rashmi Vinayak)             1
Minghua Chen                           1
Keith Ross                             2
Krste Asanovic                         2
Brian Kingsbury                        2
Osama Khan                             2
Ulas Kozat                             2
Zeev Dvir                              2
Nicholas Ja Harvey                     2
Jin Li                                 2
Steve Renals                           2
Parikshit Gopalan                      2
Mihai Patrascu                         2
Zongpeng Li                            2
Nikki Mirghafori                       2
Chuck Wooters                          2
Ness Shroff                            2
Sen-Ching Samson Cheung                2
Amit Mondal                            2
David Karger                           2
P Vijay Kumar                          2
David Van Leeuwen                      2
Chuohao Yeo                            2
Alonso Silva                           2
Rodolfo Azevedo                        2
Noga Alon                              2
Dimitris Papailiopoulos                2
Mark Manasse                           2
Rina Panigrahy                         2
Cheng Huang                            2
Ross Cutler                            2
Abhinav Pathak                         2
Viveck R Cadambe                       2
Anthony Vetro                          2
Y. Richard Yang                        2
Cha Zhang                              2
Chao Zhang                             2
Y. Charlie Hu                          2
Daniel Pw Ellis                        2
Randal Burns                           2
Andreas Stolcke                        2
Eric Fosler-Lussier                    2
Manish Jain                            2
Nihar B. Shah                          2
Sanjeev Mehrotra                       2
Qing Zhao                              2
Cynthia Dwork                          2
Syed A. Jafar                          2
Nelson Morgan                          2
Scott Moeller                          2
Alexandros G Dimakis                   2
Sergey Yekhanin                        2
Hynek Hermansky                        2
Shizhen Zhao                           2
Wu Feng                                3
Phillipa Gill                          3
Olgica Milenkovic                      3
Yuejie Chi                             3
Jianwei Huang                          3
Jinfeng Zhang                          3
Edwin Kp Chong                         3
Jose Blanchet                          3
Allen Y. Yang                          3
Timothy Middelkoop                     3
Mhr Khouzani                           3
Yao-Win Peter Hong                     3
Matias Negrete-Pincetic                3
Douglas Down                           3
Bhaskar Krishnamachari                 3
Niko Brummer                           3
Adam Wierman                           3
Kyeongcheol Yang                       3
Miranti Indar Mandasari                3
Hans Mittelmann                        3
Chen-Nee Chuah                         3
Ali Pezeshki                           3
Abhay Parekh                           3
Junshan Zhang                          3
Dengyong (Denny) Zhou                  3
V Lalitha                              3
Himabindu Pucha                        3
Kaushik Roy                            3
Sujay Sanghavi                         3
John Hansen                            3
Dr. Frank Vohle                        3
Guanfeng Liang                         3
Anthony A. Maciejewski                 3
Saurabh Bagchi                         3
